"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NEDD4L",6.56747941794968e-08,0.304948167497187,0.384,0.181,0.00170426090895794,"4","NEDD4L"
"TAPBP1",6.69424227089106e-08,0.545603228135551,0.703,0.521,0.00173715586929623,"4","TAPBP"
"ADPRS",6.70447488258588e-08,0.349196779045373,0.283,0.115,0.00173981123203104,"4","ADPRS"
"COX5A1",7.07100876084286e-08,0.523087202925282,0.601,0.372,0.00183492677343872,"4","COX5A"
"NPAS2",7.74683581591418e-08,0.331287681065627,0.275,0.111,0.00201030389422973,"4","NPAS2"
"CDK161",7.96635266496815e-08,0.45809206062018,0.529,0.288,0.00206726851655923,"4","CDK16"
"KTN1",8.48885116524584e-08,0.474275095685504,0.58,0.362,0.00220285687738129,"4","KTN1"
"ZNF593",8.54370336843637e-08,0.345729273328738,0.333,0.145,0.00221709102410924,"4","ZNF593"
"FRMD8",8.72858131985432e-08,0.35495966531991,0.283,0.116,0.0022650668525022,"4","FRMD8"
"SLC25A39",8.8226189412418e-08,0.50935129841514,0.732,0.542,0.00228946961525225,"4","SLC25A39"
"ZYX1",9.11333220630524e-08,0.3031161317242,0.428,0.206,0.00236490970753621,"4","ZYX"
"WDR45B1",1.06204503698339e-07,0.452992815342998,0.58,0.354,0.00275600687097189,"4","WDR45B"
"RAB251",1.07139848932067e-07,0.430810972587982,0.493,0.27,0.00278027907978713,"4","RAB25"
"CDC371",1.09289856021454e-07,0.327323720944582,0.565,0.313,0.00283607176375674,"4","CDC37"
"NDUFC2",1.14838394703875e-07,0.455189864814566,0.616,0.365,0.00298005634256556,"4","NDUFC2"
"LRRFIP11",1.15991438037905e-07,0.454530195577193,0.638,0.408,0.00300997781708363,"4","LRRFIP1"
"RPL351",1.18199781111799e-07,0.345032852401572,0.935,0.806,0.00306728431985117,"4","RPL35"
"CDKN1A1",1.47415606828931e-07,0.258215770182418,0.645,0.381,0.00382543499721077,"4","CDKN1A"
"LPCAT1",1.66571599318299e-07,0.376573814075106,0.283,0.116,0.00432253300230987,"4","LPCAT1"
"HBP1",1.67074413476264e-07,0.279140457892699,0.283,0.118,0.00433558102970905,"4","HBP1"
"CYB5R1",2.02086931739647e-07,0.463532654512165,0.275,0.113,0.00524415587864384,"4","CYB5R1"
"TPM41",2.12226499465414e-07,0.372818978953678,0.565,0.336,0.00550727766112749,"4","TPM4"
"LEPROT",2.25952619359544e-07,0.463666322341651,0.522,0.295,0.00586347047238017,"4","LEPROT"
"MAST41",2.56207479406768e-07,0.384483200729221,0.471,0.255,0.00664858409060563,"4","MAST4"
"PDLIM31",2.56601717788148e-07,0.524211565851548,0.254,0.106,0.00665881457660243,"4","PDLIM3"
"PPP1CA1",2.92404654996128e-07,0.483214512856807,0.522,0.298,0.00758790079714952,"4","PPP1CA"
"VPS37B1",2.93942746894445e-07,0.380482301374993,0.348,0.17,0.00762781428191086,"4","VPS37B"
"AFDN1",2.98665455788817e-07,0.397465288366556,0.283,0.121,0.0077503685777198,"4","AFDN"
"NFE2L21",3.25839580704095e-07,0.30516842382405,0.377,0.178,0.00845553711927128,"4","NFE2L2"
"CALR1",3.33112975600079e-07,0.415343130557684,0.884,0.731,0.00864428171682206,"4","CALR"
"UBALD21",3.51459091067743e-07,0.372062266557346,0.442,0.231,0.00912036341320792,"4","UBALD2"
"GFUS",3.73152769718697e-07,0.334904145631513,0.261,0.107,0.0096833143742002,"4","GFUS"
"CRB31",3.78298706904545e-07,0.303611320073696,0.261,0.107,0.00981685144417295,"4","CRB3"
"POLR1D",3.91091988713134e-07,0.350280850325544,0.507,0.28,0.0101488371071058,"4","POLR1D"
"HTATIP2",3.99783255204257e-07,0.434437250079212,0.355,0.177,0.0103743754725505,"4","HTATIP2"
"ATF4",4.08165558037161e-07,0.311606864305134,0.623,0.395,0.0105918962310643,"4","ATF4"
"H3-3B1",4.11216963860208e-07,0.360874608253048,0.949,0.801,0.0106710802121724,"4","H3-3B"
"DDT1",4.68446731165241e-07,0.335457527834716,0.478,0.273,0.012156192673738,"4","DDT"
"SLC39A14",4.833713923842e-07,0.362524127416405,0.42,0.21,0.01254348763237,"4","SLC39A14"
"TNS3",4.84247798260698e-07,0.367340539405643,0.362,0.17,0.0125662303648651,"4","TNS3"
"CISD2",5.3447794347466e-07,0.253573880545207,0.355,0.167,0.0138697026331674,"4","CISD2"
"HEBP21",5.37859010893318e-07,0.315983922110441,0.37,0.181,0.0139574413326816,"4","HEBP2"
"H1-0",5.43261492382564e-07,0.387646727404771,0.638,0.39,0.0140976357273275,"4","H1-0"
"IQGAP1",5.58018986688429e-07,0.296640861350698,0.442,0.238,0.0144805927045647,"4","IQGAP1"
"NFKB11",5.80162833256161e-07,0.367020258256221,0.362,0.174,0.0150552255229974,"4","NFKB1"
"IFRD2",5.87916179055665e-07,0.382104795249469,0.254,0.106,0.0152564248464945,"4","IFRD2"
"RPL371",5.94751472473579e-07,0.298294830581823,0.928,0.903,0.0154338007106894,"4","RPL37"
"CAMTA1",6.02768233719367e-07,0.435217225125179,0.5,0.294,0.0156418356650176,"4","CAMTA1"
"GOLGB1",6.03810535407336e-07,0.280164914526784,0.377,0.185,0.0156688833938204,"4","GOLGB1"
"NECTIN21",6.34178977419443e-07,0.383650286684516,0.551,0.326,0.0164569444640345,"4","NECTIN2"
"ZNF787",6.78572200695818e-07,0.306944449288293,0.297,0.136,0.0176089486080565,"4","ZNF787"
"FPGS1",7.09346406618174e-07,0.327281309489292,0.326,0.153,0.0184075392517416,"4","FPGS"
"CHD31",7.41617389142135e-07,0.328634946021875,0.522,0.284,0.0192449712482384,"4","CHD3"
"LCOR",7.70765810693779e-07,0.25376545949379,0.384,0.188,0.0200013727875036,"4","LCOR"
"RALA1",7.79439462389062e-07,0.528965615940052,0.304,0.142,0.0202264540489961,"4","RALA"
"CHCHD2",8.83168691493521e-07,0.41505656240014,0.855,0.69,0.0229182275442569,"4","CHCHD2"
"EZR2",8.85072162979174e-07,0.423467348368921,0.558,0.332,0.0229676226293096,"4","EZR"
"SLC12A71",9.329820660421e-07,0.466126364015516,0.442,0.247,0.0242108846137925,"4","SLC12A7"
"SSNA1",9.55304095577718e-07,0.37187519473889,0.384,0.195,0.0247901412802418,"4","SSNA1"
"MAP2K31",9.87255068133365e-07,0.503283625379104,0.413,0.212,0.0256192690180608,"4","MAP2K3"
"NAMPT1",9.93861068764666e-07,0.51041466277438,0.428,0.233,0.0257906947344431,"4","NAMPT"
"FLII1",1.05877751376003e-06,0.392820107028927,0.355,0.179,0.0274752764820727,"4","FLII"
"MLXIP",1.06825646936305e-06,0.392578490217935,0.63,0.408,0.0277212553799713,"4","MLXIP"
"DSG21",1.0721178543452e-06,0.352126676113408,0.319,0.149,0.027821458320258,"4","DSG2"
"PSME1",1.20906732651628e-06,0.50829076509397,0.558,0.329,0.0313752971230975,"4","PSME1"
"TNKS1BP11",1.21955427311898e-06,0.35329225198602,0.283,0.125,0.0316474333874375,"4","TNKS1BP1"
"SYNGR21",1.22294510990969e-06,0.405057416725844,0.623,0.414,0.0317354256021565,"4","SYNGR2"
"PABPC11",1.2786401149201e-06,0.363012118343506,0.812,0.629,0.0331807109821767,"4","PABPC1"
"XPR1",1.56914542546851e-06,0.338244431762871,0.268,0.119,0.0407193237909078,"4","XPR1"
"RPL28",1.67581623546336e-06,0.293011747212577,0.928,0.861,0.0434874313102742,"4","RPL28"
"PRRC2C",1.77730290008508e-06,0.315505384244614,0.58,0.35,0.0461210102572078,"4","PRRC2C"
"MKNK21",1.80367130603525e-06,0.470640934375554,0.428,0.24,0.0468052703916147,"4","MKNK2"
"PPP1R14B1",1.92548614832215e-06,0.411733897990598,0.63,0.434,0.0499663655489599,"4","PPP1R14B"
"CABP7",6.93772532229527e-78,0.864325464872668,0.384,0.019,1.80033972113562e-73,"5","CABP7"
"CASR",6.29947047686992e-71,1.27842666904959,0.486,0.049,1.63471258874774e-66,"5","CASR"
"PCSK11",8.08561688474914e-65,1.63172675519595,0.572,0.081,2.0982175815924e-60,"5","PCSK1"
"RBP41",4.50785418957904e-59,2.44975771755671,0.522,0.075,1.16978816219576e-54,"5","RBP4"
"GPC5-AS1",1.30888951460074e-57,0.765775793450638,0.261,0.011,3.39656829038893e-53,"5","GPC5-AS1"
"LY6H",2.00907705998705e-52,0.89456394087693,0.268,0.016,5.21355497066639e-48,"5","LY6H"
"AC055839.21",1.59497143598223e-51,1.4943872613173,0.899,0.342,4.13895087637388e-47,"5","AC055839.2"
"DPYSL3",9.24552374671535e-51,1.07729062623074,0.391,0.046,2.39921341227263e-46,"5","DPYSL3"
"SAMD111",6.03379784481746e-50,1.24972629884769,0.522,0.086,1.56577054073013e-45,"5","SAMD11"
"PRSS23",9.62139415118528e-46,1.16813279989456,0.623,0.142,2.49675178223258e-41,"5","PRSS23"
"SORL1",9.66638146075091e-46,1.34528645367229,0.667,0.175,2.50842598906486e-41,"5","SORL1"
"PDX11",7.54304857125647e-44,1.04998366483178,0.464,0.075,1.95742110424105e-39,"5","PDX1"
